Traffic statistics,Value,Precentage
SIP ISUP Packets,0,0.00
SIP INVITE Packets,0,0.00
AVG SIP INVITE Size,-nan,0.00
SIP CANCEL Packets,0,0.00
AVG SIP CANCEL Size,-nan,0.00
SIP PRACK Packets,0,0.00
AVG SIP PRACK Size,-nan,0.00
